connector,player_id,game_id,home_team,away_team,season_type,week,posteam,posteam_type,defteam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,game_half,qtr,down,yrdln,ydstogo,desc,injured_first_name,injured_last_name,injured_team,injured_player_num,contact_noncontact,injury_area,player_role,season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,years_exp,game_type,football_name,entry_year,day,date,time,winner.tie,loser.tie,pts_w,pts_l,yds_w,tov_w,yds_l,tov_l,loser_is_home,Home_Team,Away_Team,Home_abbr,Away_abbr,num_injuries,num_plays,surface,surface_type,stadium,dome,Avg_Temp,Avg_Feels_Like,Avg_Wind_MPH,Avg_Humidity_Percent,Avg_Percipitation_Prob_Percent,Home_latitude,Home_longitude,Away_latitude,Away_longitude,Neutral_latitude,Neutral_longitude,distance_miles_away,distance_miles_home,HOME_day_since_last_game,AWAY_day_since_last_game,spread_line,total_line,weeks_bucketed
2019_01_BUF_NYJ_Poole,2019_NYJ_34_Poole,2019_01_BUF_NYJ,NYJ,BUF,REG,1,BUF,away,NYJ,BUF,64,43716,267,267,267,Half2,4,2,BUF 36,10,(4:27) (Shotgun) 17-J.Allen pass deep right to 11-Z.Jones to NYJ 44 for 20 yards (22-T.Johnson). NYJ-34-B.Poole was injured during the play.,B,Poole,NYJ,34,non contact,lower body,AFP,2019,NYJ,DB,CB,34,Active,Brian Poole,Brian,Poole,33897,70,211,Florida,3,REG,Brian,2016,Sun,43716,0.541666667,Buffalo Bills,New York Jets,17,16,370,4,223,1,TRUE,New York Jets,Buffalo Bills,NYJ,BUF,2,183,FieldTurf Classic HD,Turf,MetLife Stadium,FALSE,75.5,75.5,4,48.25,0,40.8137,-74.0829,42.7738,-78.7875,0,0,277.5750706,0,0,0,2.5,41,1
2019_01_HOU_NO_Williams,2019_NO_43_Williams,2019_01_HOU_NO,NO,HOU,REG,1,HOU,away,NO,HOU,75,43717,394,394,394,Half2,4,1,HOU 25,10,(6:34) (Shotgun) 25-D.Johnson right end to NO 43 for 32 yards (53-A.Klein). NO-43-M.Williams was injured during the play. His return is Probable.,M,Williams,NO,43,non contact,lower body,AFP,2019,NO,DB,FS,43,Active,Marcus Williams,Marcus,Williams,35316,73,195,Utah,2,WC,Marcus,2017,Mon,43717,0.798611111,New Orleans Saints,Houston Texans,30,28,510,1,414,1,FALSE,New Orleans Saints,Houston Texans,NO,HOU,1,180,FieldTurf Revolution 360,Turf,Caesars Superdome,TRUE,87.75,98.75,3.5,66.75,0,29.9514,-90.082,29.6849,-95.4106,0,0,319.9488287,0,0,0,6.5,52,1
2019_01_IND_LAC_Funchess,2019_IND_17_Funchess,2019_01_IND_LAC,LAC,IND,REG,1,IND,away,LAC,LAC,19,43716,53,53,53,Half2,4,1,LAC 19,10,(:53) (Shotgun) 7-J.Brissett pass incomplete deep left to 17-D.Funchess. IND-17-D.Funchess was injured during the play. He is Out.,D,Funchess,IND,17,non contact,upper body,pass receiver,2019,IND,WR,WR,17,NA,Devin Funchess,Devin,Funchess,34475,76,225,Michigan,4,REG,Devin,2015,Sun,43716,0.670138889,Los Angeles Chargers,Indianapolis Colts,30,24,435,2,376,0,FALSE,Los Angeles Chargers,Indianapolis Colts,LAC,IND,6,167,Hellas Matrix Turf,Turf,SoFi Stadium,TRUE,73.25,73.5,6.75,64.5,0,33.8642,-118.261,39.7255,-86.2698,0,0,1805.66482,0,0,0,6,44.5,1
2019_01_IND_LAC_Ingram,2019_LAC_54_Ingram,2019_01_IND_LAC,LAC,IND,REG,1,IND,away,LAC,IND,81,43716,207,1107,1107,Half2,3,2,IND 19,1,(3:27) 25-M.Mack right guard to IND 24 for 5 yards (58-T.Davis). LAC-54-M.Ingram was injured during the play.,M,Ingram,LAC,54,non contact,lower body,run defender,2019,LAC,DL,DE,54,Active,Melvin Ingram,Melvin,Ingram,32624,74,247,South Carolina,7,REG,Melvin,2012,Sun,43716,0.670138889,Los Angeles Chargers,Indianapolis Colts,30,24,435,2,376,0,FALSE,Los Angeles Chargers,Indianapolis Colts,LAC,IND,6,167,Hellas Matrix Turf,Turf,SoFi Stadium,TRUE,73.25,73.5,6.75,64.5,0,33.8642,-118.261,39.7255,-86.2698,0,0,1805.66482,0,0,0,6,44.5,1
2019_01_IND_LAC_Ingram,2019_LAC_54_Ingram,2019_01_IND_LAC,LAC,IND,REG,1,IND,away,LAC,LAC,34,43716,860,860,2660,Half1,2,1,LAC 34,10,(14:20) 7-J.Brissett scrambles right end to LAC 28 for 6 yards (31-A.Phillips). LAC-54-M.Ingram was injured during the play.,M,Ingram,LAC,54,non contact,upper body,tackler,2019,LAC,DL,DE,54,Active,Melvin Ingram,Melvin,Ingram,32624,74,247,South Carolina,7,REG,Melvin,2012,Sun,43716,0.670138889,Los Angeles Chargers,Indianapolis Colts,30,24,435,2,376,0,FALSE,Los Angeles Chargers,Indianapolis Colts,LAC,IND,6,167,Hellas Matrix Turf,Turf,SoFi Stadium,TRUE,73.25,73.5,6.75,64.5,0,33.8642,-118.261,39.7255,-86.2698,0,0,1805.66482,0,0,0,6,44.5,1
2019_01_SF_TB_Davis,2019_TB_33_Davis,2019_01_SF_TB,TB,SF,REG,1,SF,away,TB,TB,39,43716,209,1109,1109,Half2,3,1,TB 39,10,(3:29) 10-J.Garoppolo pass incomplete short right to 11-M.Goodwin. TB-33-C.Davis was injured during the play. His return is Questionable.,C,Davis,TB,33,non contact,lower body,pass defender,2019,TB,DB,CB,33,Active,Carlton Davis,Carlton,Davis,35430,73,206,Auburn,1,REG,Carlton,2018,Sun,43716,0.684027778,San Francisco 49ers,Tampa Bay Buccaneers,31,17,256,2,295,4,TRUE,Tampa Bay Buccaneers,San Francisco 49ers,TB,SF,2,175,Bermuda Grass,Grass,Raymond James Stadium,FALSE,89.75,98.25,5,57.25,0,27.9798,-82.495,37.4029,-121.9678,0,0,2367.183968,0,0,0,1,51,1
2019_01_WAS_PHI_Davis,2019_WAS_85_Davis,2019_01_WAS_PHI,PHI,WAS,REG,1,WAS,away,PHI,PHI,48,43716,668,1568,3368,Half1,1,3,PHI 48,2,"(11:08) 8-C.Keenum pass short right to 85-V.Davis for 48 yards, TOUCHDOWN. WAS-85-V.Davis was injured during the play.",V,Davis,WAS,85,non contact,unknown,AFP,2019,WAS,TE,TE,85,NA,Vernon Davis,Vernon,Davis,30712,75,248,Maryland,13,REG,Vernon,2006,Sun,43716,0.541666667,Philadelphia Eagles,Washington Redskins,32,27,436,0,398,0,FALSE,Philadelphia Eagles,Washington Redskins,PHI,WAS,6,186,Desso GrassMaster,Grass,Lincoln Financial Field,FALSE,80.5,80.5,5,36.75,0,39.9074,-75.1783,39.0267,-77.4441,0,0,135.3131785,0,0,0,10.5,44,1
2019_01_WAS_PHI_Holcomb,2019_WAS_55_Holcomb,2019_01_WAS_PHI,PHI,WAS,REG,1,PHI,home,WAS,PHI,83,43716,681,681,681,Half2,4,3,PHI 17,15,(11:21) (Shotgun) 11-C.Wentz pass short left to 86-Z.Ertz to PHI 33 for 16 yards (23-Q.Dunbar). WAS-55-C.Holcomb was injured during the play.,C,Holcomb,WAS,55,non contact,unknown,AFP,2019,WAS,LB,LB,55,Active,Cole Holcomb,Cole,Holcomb,35276,73,240,North Carolina,0,REG,Cole,2019,Sun,43716,0.541666667,Philadelphia Eagles,Washington Redskins,32,27,436,0,398,0,FALSE,Philadelphia Eagles,Washington Redskins,PHI,WAS,6,186,Desso GrassMaster,Grass,Lincoln Financial Field,FALSE,80.5,80.5,5,36.75,0,39.9074,-75.1783,39.0267,-77.4441,0,0,135.3131785,0,0,0,10.5,44,1
2019_02_BUF_NYG_Singletary,2019_BUF_26_Singletary,2019_02_BUF_NYG,NYG,BUF,REG,2,BUF,away,NYG,NYG,47,43723,296,296,296,Half2,4,2,NYG 47,15,(4:56) 26-D.Singletary left end ran ob at NYG 43 for 4 yards (27-D.Baker). BUF-26-D.Singletary was injured during the play.,D,Singletary,BUF,26,non contact,ankle,ball carrier,2019,BUF,RB,RB,26,Active,Devin Singletary,Devin,Singletary,35676,67,203,Florida Atlantic,0,WC,Devin,2019,Sun,43723,0.541666667,Buffalo Bills,New York Giants,28,14,388,0,370,2,TRUE,New York Giants,Buffalo Bills,NYG,BUF,4,188,FieldTurf Classic HD,Turf,MetLife Stadium,FALSE,81.5,81.5,3.5,40.25,0,40.8137,-74.0829,42.7738,-78.7875,0,0,277.5750706,0,7,7,-1,44.5,1
2019_02_CHI_DEN_Marshall,2019_DEN_36_Marshall,2019_02_CHI_DEN,DEN,CHI,REG,2,CHI,away,DEN,CHI,72,43723,180,180,180,Half2,4,4,CHI 28,5,"(3:00) 16-P.O'Donnell punts 51 yards to DEN 21, Center-48-P.Scales. 11-D.Spencer to DEN 38 for 17 yards (48-P.Scales). DEN-36-T.Marshall was injured during the play.",T,Marshall,DEN,36,non contact,lower body,punt return,2019,DEN,DB,DB,36,Active,Trey Marshall,Trey,Marshall,35108,72,207,Florida State,1,REG,Trey,2018,Sun,43723,0.684027778,Chicago Bears,Denver Broncos,16,14,273,0,372,1,TRUE,Denver Broncos,Chicago Bears,DEN,CHI,2,185,Kentucky Bluegrass,Grass,Empower Field at Mile High,FALSE,89.25,89.25,5,11.5,0,39.5791,-104.83,42.256,-87.8954,0,0,901.744771,0,6,10,-3,41,1
