Team,Date,Relinquished,Notes,first_name,last_name,season,team_abbreviation,player_id
49ers,2021-09-24,Kevin Givens,ankle injury (out),Kevin,Givens,2021,SF,2021_Givens_SF
49ers,2019-10-11,Kyle Juszczyk,knee injury (out),Kyle,Juszczyk,2019,SF,2019_Juszczyk_SF
49ers,2019-10-11,Mike McGlinchey,knee injury (out),Mike,McGlinchey,2019,SF,2019_McGlinchey_SF
49ers,2021-11-13,Mohamed Sanu,knee injury (out),Mohamed,Sanu,2021,SF,2021_Sanu_SF
49ers,2021-10-29,Maurice Hurst Jr. ,calf injury (out),Maurice,Hurst,2021,SF,2021_Hurst_SF
49ers,2019-09-20,Joe Staley,fibula injury (out),Joe,Staley,2019,SF,2019_Staley_SF
49ers,2019-12-19,Jaquiski Tartt,rib injury (out),Jaquiski,Tartt,2019,SF,2019_Tartt_SF
49ers,2019-09-20,Tevin Coleman,ankle injury (out),Tevin,Coleman,2019,SF,2019_Coleman_SF
49ers,2022-09-18,Trey Lance,"fractured right ankle, ligament disruption in right ankle",Trey,Lance,2022,SF,2022_Lance_SF
49ers,2019-10-18,Deebo Samuel,groin injury (out),Deebo,Samuel,2019,SF,2019_Samuel_SF
49ers,2020-11-04,Tevin Coleman,knee injury (out),Tevin,Coleman,2020,SF,2020_Coleman_SF
49ers,2020-10-23,Kwon Alexander,ankle injury (out),Kwon,Alexander,2020,SF,2020_Alexander_SF
49ers,2021-11-13,Dre Kirkpatrick,ankle injury (out),Dre,Kirkpatrick,2021,SF,2021_Kirkpatrick_SF
49ers,2021-11-13,JaMycal Hasty,ankle injury (out),JaMycal,Hasty,2021,SF,2021_Hasty_SF
49ers,2020-10-23,Jimmie Ward,quadriceps injury (out),Jimmie,Ward,2020,SF,2020_Ward_SF
49ers,2021-09-10,Jalen Hurd,knee injury (out),Jalen,Hurd,2021,SF,2021_Hurd_SF
49ers,2021-11-26,JaMycal Hasty,ankle injury (out),JaMycal,Hasty,2021,SF,2021_Hasty_SF
49ers,2021-11-05,Jimmie Ward,quadriceps injury (out),Jimmie,Ward,2021,SF,2021_Ward_SF
49ers,2019-10-11,Joe Staley,fibula injury (out),Joe,Staley,2019,SF,2019_Staley_SF
49ers,2020-09-25,Dee Ford,back injury (out),Dee,Ford,2020,SF,2020_Ford_SF
49ers,2021-12-03,Trey Sermon,ankle injury (out),Trey,Sermon,2021,SF,2021_Sermon_SF
49ers,2021-12-03,Maurice Hurst Jr. ,calf injury (out),Maurice,Hurst,2021,SF,2021_Hurst_SF
49ers,2020-09-25,Jimmy Garoppolo,ankle injury (out),Jimmy,Garoppolo,2020,SF,2020_Garoppolo_SF
49ers,2019-11-22,Dee Ford,quadriceps injury (out),Dee,Ford,2019,SF,2019_Ford_SF
49ers,2019-11-22,Joe Staley,finger injury (out),Joe,Staley,2019,SF,2019_Staley_SF
49ers,2019-12-13,Richard Sherman,hamstring injury (out),Richard,Sherman,2019,SF,2019_Sherman_SF
49ers,2020-10-23,Raheem Mostert,ankle injury (out),Raheem,Mostert,2020,SF,2020_Mostert_SF
49ers,2021-11-13,Maurice Hurst Jr. ,calf injury (out),Maurice,Hurst,2021,SF,2021_Hurst_SF
49ers,2020-09-18,George Kittle,knee injury (out),George,Kittle,2020,SF,2020_Kittle_SF
49ers,2021-11-13,Tavon Wilson,foot injury (out),Tavon,Wilson,2021,SF,2021_Wilson_SF
49ers,2019-12-19,Dee Ford,quadriceps injury (out),Dee,Ford,2019,SF,2019_Ford_SF
49ers,2021-12-10,Trenton Cannon,concussion (out),Trenton,Cannon,2021,SF,2021_Cannon_SF
49ers,2021-12-17,Maurice Hurst Jr. ,calf injury (out),Maurice,Hurst,2021,SF,2021_Hurst_SF
49ers,2020-12-25,Richard Sherman,calf injury (out),Richard,Sherman,2020,SF,2020_Sherman_SF
49ers,2019-09-20,Jalen Hurd,back injury (out),Jalen,Hurd,2019,SF,2019_Hurd_SF
49ers,2020-09-25,George Kittle,knee injury (out),George,Kittle,2020,SF,2020_Kittle_SF
49ers,2020-10-23,Jaquiski Tartt,groin injury (out),Jaquiski,Tartt,2020,SF,2020_Tartt_SF
49ers,2019-12-13,K'Waun Williams,concussion (out),K'Waun,Williams,2019,SF,2019_Williams_SF
49ers,2021-12-10,Elijah Mitchell,"concussion, knee injury (out)",Elijah,Mitchell,2021,SF,2021_Mitchell_SF
49ers,2021-12-10,Emmanuel Moseley,ankle injury (out),Emmanuel,Moseley,2021,SF,2021_Moseley_SF
49ers,2020-10-02,Raheem Mostert,knee injury (out),Raheem,Mostert,2020,SF,2020_Mostert_SF
49ers,2020-12-11,Hroniss Grasu,knee injury (out),Hroniss,Grasu,2020,SF,2020_Grasu_SF
49ers,2019-12-19,Jullian Taylor,elbow injury (out),Jullian,Taylor,2019,SF,2019_Taylor_SF
49ers,2020-12-25,Deebo Samuel,hamstring injury (out),Deebo,Samuel,2020,SF,2020_Samuel_SF
49ers,2021-12-17,Dre Greenlaw,groin injury (out),Dre,Greenlaw,2021,SF,2021_Greenlaw_SF
49ers,2020-11-04,George Kittle,fractured foot (out),George,Kittle,2020,SF,2020_Kittle_SF
49ers,2021-10-08,Jimmy Garoppolo,calf injury (out),Jimmy,Garoppolo,2021,SF,2021_Garoppolo_SF
49ers,2019-09-13,Trent Taylor,foot injury (out),Trent,Taylor,2019,SF,2019_Taylor_SF
49ers,2019-10-18,Ahkello Witherspoon,foot injury (out),Ahkello,Witherspoon,2019,SF,2019_Witherspoon_SF
49ers,2021-01-01,Deebo Samuel,hamstring injury (out),Deebo,Samuel,2020,SF,2020_Samuel_SF
49ers,2021-12-10,Dre Greenlaw,groin injury (out),Dre,Greenlaw,2021,SF,2021_Greenlaw_SF
49ers,2020-10-09,Dontae Johnson,groin injury (out),Dontae,Johnson,2020,SF,2020_Johnson_SF
49ers,2019-10-18,Joe Staley,fibula injury (out),Joe,Staley,2019,SF,2019_Staley_SF
49ers,2021-12-10,Maurice Hurst Jr. ,calf injury (out),Maurice,Hurst,2021,SF,2021_Hurst_SF
49ers,2019-10-05,Joe Staley,fibula injury (out),Joe,Staley,2019,SF,2019_Staley_SF
49ers,2021-09-24,JaMycal Hasty,ankle injury (out),JaMycal,Hasty,2021,SF,2021_Hasty_SF
49ers,2019-10-30,Mike McGlinchey,knee injury (out),Mike,McGlinchey,2019,SF,2019_McGlinchey_SF
49ers,2020-09-11,Jason Verrett,hamstring injury (out),Jason,Verrett,2020,SF,2020_Verrett_SF
49ers,2023-01-29,Brock Purdy,torn UCL in right elbow (out indefinitely),Brock,Purdy,2022,SF,2022_Purdy_SF
49ers,2020-12-25,Jimmie Ward,concussion (out),Jimmie,Ward,2020,SF,2020_Ward_SF
49ers,2020-11-04,Jimmy Garoppolo,ankle injury (out),Jimmy,Garoppolo,2020,SF,2020_Garoppolo_SF
49ers,2021-10-22,Trey Lance,knee injury (out),Trey,Lance,2021,SF,2021_Lance_SF
49ers,2021-01-01,Brandon Aiyuk,ankle injury (out),Brandon,Aiyuk,2020,SF,2020_Aiyuk_SF
