season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,college,years_exp,week,game_type,football_name,entry_year,player_id
2019,ARI,DB,CB,21,Active,Patrick Peterson,Patrick,Peterson,1990-07-11,Louisiana State,8,17,REG,Patrick,2011,2019_Peterson_ARI
2019,ARI,DB,SS,38,Active,Chris Banjo,Ayorunmi,Banjo,1990-02-26,Southern Methodist,6,17,REG,Chris,2013,2019_Banjo_ARI
2019,ARI,DB,CB,23,NA,Robert Alford,Robert,Alford,1988-11-01,Southeastern Louisiana,NA,17,REG,Robert,NA,2019_Alford_ARI
2019,ARI,DB,CB,27,NA,Josh Shaw,Josh,Shaw,1992-03-27,USC,NA,17,REG,Josh,NA,2019_Shaw_ARI
2019,ARI,DB,CB,26,NA,Brandon Williams,Brandon,Williams,1992-09-09,Texas A&amp;M,NA,17,REG,Brandon,NA,2019_Williams_ARI
2019,ARI,DB,FS,28,Active,Charles Washington,Charles,Washington,1993-03-10,Fresno State,3,17,REG,Charles,2016,2019_Washington_ARI
2019,ARI,DB,CB,34,NA,Duke Thomas,Duke,Thomas,1994-05-21,Texas,NA,17,REG,Duke,NA,2019_Thomas_ARI
2019,ARI,DB,CB,27,NA,Kevin Peterson,Kevin,Peterson,1994-03-22,Oklahoma State,3,17,REG,Kevin,2016,2019_Peterson_ARI
2019,ARI,DB,CB,22,NA,Trevor Williams,Trevor,Williams,1993-09-15,Penn State,3,17,REG,Trevor,2016,2019_Williams_ARI
2019,ARI,DB,FS,32,Active,Budda Baker,Budda,Baker,1996-01-10,Washington,2,17,REG,Budda,2017,2019_Baker_ARI
2019,ARI,DB,CB,39,NA,Sojourn Shelton,Sojourn,Shelton,1994-12-25,Wisconsin,NA,17,REG,Sojourn,NA,2019_Shelton_ARI
2019,ARI,DB,CB,30,Active,Jalen Davis,Jalen,Davis,1996-02-02,Utah State,1,17,REG,Jalen,2018,2019_Davis_ARI
2019,ARI,DB,CB,28,NA,Deatrick Nichols,Deatrick,Nichols,NA,South Florida,NA,17,REG,Deatrick,NA,2019_Nichols_ARI
2019,ARI,DB,DB,22,Active,Andre Chachere,Andre,Chachere,1996-02-10,San Jose State,1,17,REG,Andre,2018,2019_Chachere_ARI
2019,ARI,DB,CB,25,Active,Chris Jones,Chris,Jones,1995-08-13,Nebraska,1,17,REG,Chris,2018,2019_Jones_ARI
2019,ARI,DB,CB,33,Active,Byron Murphy,Byron,Murphy,1998-01-18,Washington,0,17,REG,Byron,2019,2019_Murphy_ARI
2019,ARI,DB,S,35,Active,Deionte Thompson,Deionte,Thompson,1997-02-11,Alabama,0,17,REG,Deionte,2019,2019_Thompson_ARI
2019,ARI,DB,DB,39,NA,Tyler Sigler,Tyler,Sigler,NA,Wheaton,NA,17,REG,Tyler,NA,2019_Sigler_ARI
2019,ARI,DB,DB,34,Active,Jalen Thompson,Jalen,Thompson,1998-07-18,Washington State,0,17,REG,Jalen,2019,2019_Thompson_ARI
2019,ARI,DL,DT,93,NA,Clinton McDonald,Clinton,McDonald,1987-01-06,Memphis,10,17,REG,Clinton,2009,2019_McDonald_ARI
2019,ARI,DL,DT,98,Active,Corey Peters,Corey,Peters,1988-06-08,Kentucky,9,17,REG,Corey,2010,2019_Peters_ARI
2019,ARI,DL,DE,49,NA,Andre Branch,Andre,Branch,NA,Clemson,NA,17,REG,Andre,NA,2019_Branch_ARI
2019,ARI,DL,DT,94,Active,Caraun Reid,Caraun,Reid,1991-11-23,Princeton,5,17,REG,Caraun,2014,2019_Reid_ARI
2019,ARI,DL,NT,92,Active,Zach Kerr,Zachariah,Kerr,1990-08-29,Delaware,5,17,REG,Zach,2014,2019_Kerr_ARI
2019,ARI,DL,DT,95,NA,Rodney Gunter,Rodney,Gunter,1992-01-19,Delaware State,4,17,REG,Rodney,2015,2019_Gunter_ARI
2019,ARI,DL,DT,93,NA,Darius Philon,Darius,Philon,NA,Arkansas,NA,17,REG,Darius,NA,2019_Philon_ARI
2019,ARI,DL,DE,90,NA,Jonathan Bullard,Jonathan,Bullard,1993-10-22,Florida,3,17,REG,Jonathan,2016,2019_Bullard_ARI
2019,ARI,DL,DT,96,NA,Vincent Valentine,Vincent,Valentine,NA,Nebraska,NA,17,REG,Vincent,NA,2019_Valentine_ARI
2019,ARI,DL,DE,71,NA,Sterling Bailey,Sterling,Bailey,NA,Georgia,NA,17,REG,Sterling,NA,2019_Bailey_ARI
2019,ARI,DL,DT,96,NA,Pasoni Tasini,Pasoni,Tasini,NA,Utah,NA,17,REG,Pasoni,NA,2019_Tasini_ARI
2019,ARI,DL,DT,60,NA,Peli Anau,Peli,Anau,NA,Northern Arizona,NA,17,REG,Peli,NA,2019_Anau_ARI
2019,ARI,DL,DT,92,NA,Lyndon Johnson,Lyndon,Johnson,1994-05-23,Cincinnati,NA,17,REG,Lyndon,NA,2019_Johnson_ARI
2019,ARI,DL,DE,97,NA,Zach Allen,Zach,Allen,1997-08-20,Boston College,0,17,REG,Zach,2019,2019_Allen_ARI
2019,ARI,DL,DE,91,Active,Michael Dogbe,Michael,Dogbe,1996-05-05,Temple,0,17,REG,Michael,2019,2019_Dogbe_ARI
2019,ARI,DL,NT,78,NA,Javier Edwards,Javier,Edwards,1996-10-27,Colorado,NA,17,REG,Javier,NA,2019_Edwards_ARI
2019,ARI,DL,NT,72,Active,Miles Brown,Miles,Brown,1997-09-04,Wofford,0,17,REG,Miles,2019,2019_Brown_ARI
2019,ARI,LB,OLB,50,NA,Brooks Reed,Brooks,Reed,1987-02-28,Arizona,8,17,REG,Brooks,2011,2019_Reed_ARI
2019,ARI,LB,OLB,55,Active,Chandler Jones,Chandler,Jones,1990-02-27,Syracuse,7,17,REG,Chandler,2012,2019_Jones_ARI
2019,ARI,LB,LB,54,Active,Cassius Marsh,Cassius,Marsh,1992-07-07,UCLA,5,17,REG,Cassius,2014,2019_Marsh_ARI
2019,ARI,LB,MLB,58,Active,Jordan Hicks,Jordan,Hicks,1992-06-27,Texas,4,17,REG,Jordan,2015,2019_Hicks_ARI
2019,ARI,LB,MLB,59,Active,Joe Walker,Joseph,Walker,1992-12-11,Oregon,3,17,REG,Joe,2016,2019_Walker_ARI
2019,ARI,LB,LB,57,Active,Vontarrius Dora,Vontarrius,Dora,1992-09-07,Louisiana Tech,3,17,REG,Vontarrius,2016,2019_Dora_ARI
2019,ARI,LB,ILB,43,Active,Haason Reddick,Haason,Reddick,1994-09-22,Temple,2,17,REG,Haason,2017,2019_Reddick_ARI
2019,ARI,LB,LB,51,NA,Tanner Vallejo,Tanner,Vallejo,1994-12-16,Boise State,2,17,REG,Tanner,2017,2019_Vallejo_ARI
