connector,player_id,game_id,home_team,away_team,season_type,week,posteam,posteam_type,defteam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,game_half,qtr,down,yrdln,ydstogo,desc,injured_first_name,injured_last_name,injured_team,injured_player_num,Contact/ non-contact,injury area,player role,season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,years_exp,game_type,football_name,smart_id,entry_year,day,date,time,winner.tie,loser.tie,pts_w,pts_l,yds_w,tov_w,yds_l,tov_l,loser_is_home,Home_Team,Away_Team,Home_abbr,Away_abbr,num_injuries,num_plays,surface,surface_type,stadium,dome,Avg_Temp,Avg_Feels_Like,Avg_Wind_MPH,Avg_Humidity_Percent,Avg_Percipitation_Prob_Percent,Home_latitude,Home_longitude,Away_latitude,Away_longitude,distance_miles,HOME_day_since_last_game,AWAY_day_since_last_game
2019_01_DEN_LV_James,2019_DEN_70_James,2019_01_DEN_OAK,LV,DEN,REG,1,DEN,away,LV,LV,31,43717,844,844,2644,Half1,2,1,LV 31,10,"(14:04) 30-P.Lindsay left tackle to OAK 27 for 4 yards (24-J.Abram). DEN-70-J.James was injured during the play. His return is Questionable. PENALTY on DEN-65-R.Leary, Offensive Holding, 10 yards, enforced at OAK 31 - No Play.",J,James,DEN,70,contact,knee,pass blocker,2019,DEN,OL,OT,70,Active,Ja'Wuan James,Ja'Wuan,James,6/3/92,78,312,Tennessee,5,REG,Ja'Wuan,32004a41-4d21-8029-cd5c-4a092b767472,2014,Mon,9/9/19,22:20:00,Oakland Raiders,Denver Broncos,24,16,357,0,344,0,FALSE,Oakland Raiders,Denver Broncos,LV,DEN,3,161,Bermuda Grass,Grass,Oakland Coliseum,FALSE,61.75,61.75,8.5,72.75,0,37.7567,-122.1931,39.5791,-104.83,943.6575276,0,0
2019_01_DEN_LV_Sutton,2019_DEN_14_Sutton,2019_01_DEN_OAK,LV,DEN,REG,1,DEN,away,LV,DEN,51,43717,58,58,1858,Half1,2,1,DEN 49,10,"(:58) (No Huddle, Shotgun) 5-J.Flacco pass short middle to 28-R.Freeman to OAK 46 for 5 yards (55-V.Burfict). DEN-14-C.Sutton was injured during the play. His return is Questionable.",C,Sutton,DEN,14,contact,head/neck,pass reciever,2019,DEN,WR,WR,14,Active,Courtland Sutton,Courtland,Sutton,10/10/95,76,216,Southern Methodist,1,REG,Courtland,32005355-5433-3526-b2bf-88d6b83781c0,2018,Mon,9/9/19,22:20:00,Oakland Raiders,Denver Broncos,24,16,357,0,344,0,FALSE,Oakland Raiders,Denver Broncos,LV,DEN,3,161,Bermuda Grass,Grass,Oakland Coliseum,FALSE,61.75,61.75,8.5,72.75,0,37.7567,-122.1931,39.5791,-104.83,943.6575276,0,0
2019_02_KC_LV_Burfict,2019_LV_55_Burfict,2019_02_KC_OAK,LV,KC,REG,2,KC,away,LV,LV,46,43723,822,1722,1722,Half2,3,3,LV 46,6,(13:42) (Shotgun) 15-P.Mahomes pass short right to 26-Dam.Williams ran ob at OAK 38 for 8 yards (55-V.Burfict). OAK-55-V.Burfict was injured during the play. His return is Questionable.,V,Burfict,LV,55,contact,lower body,tackler,2019,LV,LB,OLB,55,NA,Vontaze Burfict,Vontaze,Burfict,9/24/90,73,255,Arizona State,7,REG,Vontaze,32004255-5204-4491-1577-9f1b0b77d49e,2012,Sun,9/15/19,16:05:00,Kansas City Chiefs,Oakland Raiders,28,10,467,1,307,2,TRUE,Oakland Raiders,Kansas City Chiefs,LV,KC,5,180,Bermuda Grass,Grass,Oakland Coliseum,FALSE,67.25,67.25,9.25,61.75,0,37.7567,-122.1931,39.0482,-94.4831,1497.333876,6,7
2019_02_KC_LV_Ferrell,2019_LV_96_Ferrell,2019_02_KC_OAK,LV,KC,REG,2,KC,away,LV,LV,17,43723,116,116,1916,Half1,2,2,LV 17,7,"(1:56) (Shotgun) 15-P.Mahomes pass short left to 26-Dam.Williams to OAK 14 for 3 yards (92-P.Hall). OAK-96-C.Ferrell was injured during the play. His return is Probable. PENALTY on KC-75-C.Erving, Illegal Block Above the Waist, 10 yards, enforced at OAK 17 - No Play.",C,Ferrell,LV,96,contact,head,pass rusher,2019,LV,DL,DE,96,Active,Clelin Ferrell,Clelin,Ferrell,5/17/97,76,265,Clemson,0,REG,Clelin,32004645-5255-8663-cd04-9e42913c7a38,2019,Sun,9/15/19,16:05:00,Kansas City Chiefs,Oakland Raiders,28,10,467,1,307,2,TRUE,Oakland Raiders,Kansas City Chiefs,LV,KC,5,180,Bermuda Grass,Grass,Oakland Coliseum,FALSE,67.25,67.25,9.25,61.75,0,37.7567,-122.1931,39.0482,-94.4831,1497.333876,6,7
2019_02_KC_LV_Harris,2019_LV_17_Harris,2019_02_KC_OAK,LV,KC,REG,2,LV,home,KC,50,50,43723,224,224,2024,Half1,2,4,MID 50,5,"(3:44) 6-A.Cole punts 41 yards to KC 9, Center-47-T.Sieg. 84-D.Thomas to KC 22 for 13 yards (52-M.Lee). OAK-17-D.Harris was injured during the play. His return is Questionable. PENALTY on KC-44-D.O'Daniel, Illegal Block Above the Waist, 6 yards, enforced at KC 12.",D,Harris,LV,17,contact,lower body,punt team,2019,LV,WR,WR,17,NA,Dwayne Harris,Dwayne,Harris,9/16/87,70,215,East Carolina,8,REG,Dwayne,32004841-5237-6781-9ee7-8b96920da754,2011,Sun,9/15/19,16:05:00,Kansas City Chiefs,Oakland Raiders,28,10,467,1,307,2,TRUE,Oakland Raiders,Kansas City Chiefs,LV,KC,5,180,Bermuda Grass,Grass,Oakland Coliseum,FALSE,67.25,67.25,9.25,61.75,0,37.7567,-122.1931,39.0482,-94.4831,1497.333876,6,7
2019_02_KC_LV_Hurst,2019_LV_73_Hurst,2019_02_KC_OAK,LV,KC,REG,2,KC,away,LV,LV,49,43723,25,925,2725,Half1,1,2,LV 49,2,"(:25) (Shotgun) 26-Dam.Williams right end to OAK 44 for 5 yards (73-M.Hurst, 20-D.Worley). OAK-73-M.Hurst was injured during the play. His return is Probable.",M,Hurst,LV,73,contact,lower body,tackler,2019,LV,DL,DT,73,Active,Maurice Hurst,Maurice,Hurst,5/9/95,73,291,Michigan,1,REG,Maurice,32004855-5250-1348-cfd2-5bfb51dbc5bb,2018,Sun,9/15/19,16:05:00,Kansas City Chiefs,Oakland Raiders,28,10,467,1,307,2,TRUE,Oakland Raiders,Kansas City Chiefs,LV,KC,5,180,Bermuda Grass,Grass,Oakland Coliseum,FALSE,67.25,67.25,9.25,61.75,0,37.7567,-122.1931,39.0482,-94.4831,1497.333876,6,7
2019_02_KC_LV_Worley,2019_LV_20_Worley,2019_02_KC_OAK,LV,KC,REG,2,KC,away,LV,LV,32,43723,403,403,2203,Half1,2,1,LV 32,10,(6:43) (Shotgun) 15-P.Mahomes pass incomplete deep right to 81-B.Bell. OAK-20-D.Worley was injured during the play. His return is Probable.,D,Worley,LV,20,contact,upper body,tackler,2019,LV,DB,CB,20,Active,Daryl Worley,Daryl,Worley,2/22/95,73,215,West Virginia,3,REG,Daryl,3200574f-5261-6410-d895-940efbad622c,2016,Sun,9/15/19,16:05:00,Kansas City Chiefs,Oakland Raiders,28,10,467,1,307,2,TRUE,Oakland Raiders,Kansas City Chiefs,LV,KC,5,180,Bermuda Grass,Grass,Oakland Coliseum,FALSE,67.25,67.25,9.25,61.75,0,37.7567,-122.1931,39.0482,-94.4831,1497.333876,6,7
2019_02_NO_LAR_Smith,2019_NO_10_Smith,2019_02_NO_LAR,LAR,NO,REG,2,NO,away,LA,LA,48,43723,778,778,778,Half2,4,1,LA 48,10,(12:58) 5-T.Bridgewater pass short right to 10-T.Smith to LA 20 for 28 yards (32-E.Weddle). NO-10-T.Smith was injured during the play. His return is Probable.,T,Smith,NO,10,contact,lower body,pass receiver,2019,NO,WR,WR,10,Active,Tre'Quan Smith,Tre'Quan,Smith,1/7/96,74,210,Central Florida,1,WC,Tre'Quan,3200534d-4976-4556-d545-e418d85634bb,2018,Sun,9/15/19,16:25:00,Los Angeles Rams,New Orleans Saints,27,9,380,1,244,1,FALSE,Los Angeles Rams,New Orleans Saints,LAR,NO,4,175,Hellas Matrix Turf,Turf,SoFi Stadium,TRUE,82.75,83.25,5.5,49.5,0,33.8642,-118.261,29.9514,-90.082,1669.499163,7,6
2019_03_LV_MIN_Brown,2019_LV_77_Brown,2019_03_OAK_MIN,MIN,LV,REG,3,LV,away,MIN,MIN,38,43730,685,685,685,Half2,4,1,MIN 38,10,(11:25) (Shotgun) 28-J.Jacobs right guard to MIN 32 for 6 yards (97-E.Griffen). OAK-77-T.Brown was injured during the play.,T,Brown,LV,77,contact,lower body,run blcoker,2019,LV,OL,T,77,NA,Trent Brown,Trent,Brown,4/13/93,80,380,Florida,4,REG,Trent,32004252-4f73-9325-7786-18cc8995e060,2015,Sun,9/22/19,13:00:00,Minnesota Vikings,Oakland Raiders,34,14,385,0,302,1,FALSE,Minnesota Vikings,Oakland Raiders,MIN,LV,5,159,UBU Sports Speed S5-M,Turf,U.S. Bank Stadium,TRUE,64.75,64.75,6,68.25,0,44.9746,-93.2598,37.7567,-122.1931,1571.306873,7,7
2019_03_LV_MIN_Burfict,2019_LV_55_Burfict,2019_03_OAK_MIN,MIN,LV,REG,3,MIN,home,LV,LV,5,43730,706,706,2506,Half1,2,2,LV 5,5,"(11:46) (Shotgun) 8-K.Cousins up the middle to OAK 1 for 4 yards (42-K.Joseph, 90-J.Hankins). OAK-55-V.Burfict was injured during the play.",V,Burfict,LV,55,contact,upper body/ elbow,tackler,2019,LV,LB,OLB,55,NA,Vontaze Burfict,Vontaze,Burfict,9/24/90,73,255,Arizona State,7,REG,Vontaze,32004255-5204-4491-1577-9f1b0b77d49e,2012,Sun,9/22/19,13:00:00,Minnesota Vikings,Oakland Raiders,34,14,385,0,302,1,FALSE,Minnesota Vikings,Oakland Raiders,MIN,LV,5,159,UBU Sports Speed S5-M,Turf,U.S. Bank Stadium,TRUE,64.75,64.75,6,68.25,0,44.9746,-93.2598,37.7567,-122.1931,1571.306873,7,7
