Date,year,Month,Day,Full_team_name,Team,Player,first_name,last_name,Notes,abbr,id,position,status
9/5/19,2019,September,5,Green Bay Packers,Packers,Darrius Shepherd,Darrius,Shepherd,hamstring injury (out),GB,Darrius-Shepherd-GB-2019,WR,NA
9/5/19,2019,September,5,Green Bay Packers,Packers,Oren Burks,Oren,Burks,chest injury (out),GB,Oren-Burks-GB-2019,LB,Active
9/6/19,2019,September,6,San Francisco 49ers,49ers,Jalen Hurd,Jalen,Hurd,back injury (out),SF,Jalen-Hurd-SF-2019,WR,NA
9/6/19,2019,September,6,San Francisco 49ers,49ers,Jimmie Ward,Jimmie,Ward,hand injury (out),SF,Jimmie-Ward-SF-2019,DB,Active
9/6/19,2019,September,6,San Francisco 49ers,49ers,Trent Taylor,Trent,Taylor,foot injury (out),SF,Trent-Taylor-SF-2019,WR,NA
9/6/19,2019,September,6,Cincinnati Bengals,Bengals,A.J. Green,A.J.,Green,ankle injury (out),CIN,A.J.-Green-CIN-2019,WR,NA
9/6/19,2019,September,6,Cincinnati Bengals,Bengals,Cordy Glenn,Cordy,Glenn,concussion (out),CIN,Cordy-Glenn-CIN-2019,OL,Active
9/6/19,2019,September,6,Cincinnati Bengals,Bengals,Trayveon Williams,Trayveon,Williams,foot injury (out),CIN,Trayveon-Williams-CIN-2019,RB,Active
9/6/19,2019,September,6,Buffalo Bills,Bills,Andre Roberts,Andre,Roberts,quadriceps injury (out),BUF,Andre-Roberts-BUF-2019,WR,Active
9/6/19,2019,September,6,Tampa Bay Buccaneers,Buccaneers,Blaine Gabbert,Blaine,Gabbert,left shoulder injury (out),TB,Blaine-Gabbert-TB-2019,QB,NA
9/6/19,2019,September,6,Tampa Bay Buccaneers,Buccaneers,Justin Evans,Justin,Evans,Achilles injury (out),TB,Justin-Evans-TB-2019,DB,NA
9/6/19,2019,September,6,Arizona Cardinals,Cardinals,Lamont Gaillard,Lamont,Gaillard,knee injury (out),ARI,Lamont-Gaillard-ARI-2019,OL,Active
9/6/19,2019,September,6,Arizona Cardinals,Cardinals,Marcus Gilbert,Marcus,Gilbert,knee injury (out),ARI,Marcus-Gilbert-ARI-2019,OL,NA
9/6/19,2019,September,6,Indianapolis Colts,Colts,Jabaal Sheard,Jabaal,Sheard,knee injury (out),IND,Jabaal-Sheard-IND-2019,DL,Active
9/6/19,2019,September,6,Indianapolis Colts,Colts,Jonathan Williams,Jonathan,Williams,rib injury (out),IND,Jonathan-Williams-IND-2019,RB,Active
9/6/19,2019,September,6,Dallas Cowboys,Cowboys,Darian Thompson,Darian,Thompson,ankle injury (out),DAL,Darian-Thompson-DAL-2019,DB,Active
9/6/19,2019,September,6,Dallas Cowboys,Cowboys,Donovan Wilson,Donovan,Wilson,ankle injury (out),DAL,Donovan-Wilson-DAL-2019,DB,Active
