season,week,team_name,team_abbr,position,depth_chart_position,status,full_name,first_name,last_name,birth_date,college,years_exp,status_description_abbr,entry_year,ID
2019,17,Arizona Cardinals,ARI,DB,CB,Active,Patrick Peterson,Patrick,Peterson,7/11/90,Louisiana State,8,A01,2011,Patrick-Peterson-ARI-2019
2019,17,Arizona Cardinals,ARI,DB,SS,Active,Chris Banjo,Chris,Banjo,2/26/90,Southern Methodist,6,A01,2013,Chris-Banjo-ARI-2019
2019,17,Arizona Cardinals,ARI,DB,CB,NA,Robert Alford,Robert,Alford,11/1/88,Southeastern Louisiana,NA,NA,NA,Robert-Alford-ARI-2019
2019,17,Arizona Cardinals,ARI,DB,CB,NA,Josh Shaw,Josh,Shaw,3/27/92,USC,NA,NA,NA,Josh-Shaw-ARI-2019
2019,17,Arizona Cardinals,ARI,DB,CB,NA,Brandon Williams,Brandon,Williams,9/9/92,Texas A&amp;M,NA,NA,NA,Brandon-Williams-ARI-2019
2019,17,Arizona Cardinals,ARI,DB,FS,Active,Charles Washington,Charles,Washington,3/10/93,Fresno State,3,A01,2016,Charles-Washington-ARI-2019
2019,17,Arizona Cardinals,ARI,DB,CB,NA,Duke Thomas,Duke,Thomas,5/21/94,Texas,NA,NA,NA,Duke-Thomas-ARI-2019
2019,17,Arizona Cardinals,ARI,DB,CB,NA,Kevin Peterson,Kevin,Peterson,3/22/94,Oklahoma State,NA,NA,NA,Kevin-Peterson-ARI-2019
2019,17,Arizona Cardinals,ARI,DB,CB,NA,Trevor Williams,Trevor,Williams,9/15/93,Penn State,NA,NA,NA,Trevor-Williams-ARI-2019
2019,17,Arizona Cardinals,ARI,DB,CB,NA,Trevor Williams,Trevor,Williams,9/15/93,Penn State,NA,NA,NA,Trevor-Williams-ARI-2019
2019,17,Arizona Cardinals,ARI,DB,FS,Active,Budda Baker,Budda,Baker,1/10/96,Washington,2,A01,2017,Budda-Baker-ARI-2019
2019,17,Arizona Cardinals,ARI,DB,CB,NA,Sojourn Shelton,Sojourn,Shelton,12/25/94,Wisconsin,NA,NA,NA,Sojourn-Shelton-ARI-2019
2019,17,Arizona Cardinals,ARI,DB,CB,Active,Jalen Davis,Jalen,Davis,2/2/96,Utah State,1,A01,2018,Jalen-Davis-ARI-2019
2019,17,Arizona Cardinals,ARI,DB,CB,NA,Deatrick Nichols,Deatrick,Nichols,NA,South Florida,NA,NA,NA,Deatrick-Nichols-ARI-2019
2019,17,Arizona Cardinals,ARI,DB,DB,Active,Andre Chachere,Andre,Chachere,2/10/96,San Jose State,1,A01,2018,Andre-Chachere-ARI-2019
2019,17,Arizona Cardinals,ARI,DB,DB,Active,Andre Chachere,Andre,Chachere,2/10/96,San Jose State,1,A01,2018,Andre-Chachere-ARI-2019
2019,17,Arizona Cardinals,ARI,DB,CB,Active,Chris Jones,Chris,Jones,8/13/95,Nebraska,1,A01,2018,Chris-Jones-ARI-2019
2019,17,Arizona Cardinals,ARI,DB,CB,Active,Byron Murphy,Byron,Murphy,1/18/98,Washington,0,A01,2019,Byron-Murphy-ARI-2019
2019,17,Arizona Cardinals,ARI,DB,S,Active,Deionte Thompson,Deionte,Thompson,2/11/97,Alabama,0,A01,2019,Deionte-Thompson-ARI-2019
2019,17,Arizona Cardinals,ARI,DB,DB,NA,Tyler Sigler,Tyler,Sigler,NA,Wheaton,NA,NA,NA,Tyler-Sigler-ARI-2019
2019,17,Arizona Cardinals,ARI,DB,DB,Active,Jalen Thompson,Jalen,Thompson,7/18/98,Washington State,0,A01,2019,Jalen-Thompson-ARI-2019
2019,17,Arizona Cardinals,ARI,DL,DT,NA,Clinton McDonald,Clinton,McDonald,1/6/87,Memphis,NA,NA,NA,Clinton-McDonald-ARI-2019
