game_id,Week,Day,Date,Year,Month,Day,Time,Winner/tie,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL,loser_is_home,start_latlong,end_latlong,start_lat,start_long,end_lat,end_long,Home,Away,Stadium,Dome,Grass,HOME_day_since_last_game,AWAY_day_since_last_game,Distance
2019_01_GB_CHI,1,Thu,43713,2019,September,5,8:20PM,Green Bay Packers,Chicago Bears,10,3,213,0,254,1,TRUE,"44.501135,-88.062284","42.256007,-87.895355",44.501135,-88.062284,42.256007,-87.895355,Chicago Bears,Green Bay Packers,Soldier Field,No,Kentucky Bluegrass,0,0,155.3495515
2019_01_ATL_MIN,1,Sun,43716,2019,September,8,1:00PM,Minnesota Vikings,Atlanta Falcons,28,12,269,0,345,3,FALSE,"33.755141,-84.401023","44.974552,-93.25975",33.755141,-84.401023,44.974552,-93.25975,Minnesota Vikings,Atlanta Falcons,U.S. Bank Stadium,Closed,UBU Speed Series S5-M (turf),0,0,906.91681
2019_01_BUF_NYJ,1,Sun,43716,2019,September,8,1:00PM,Buffalo Bills,New York Jets,17,16,370,4,223,1,TRUE,"42.773773,-78.787460","40.813677,-74.082884",42.773773,-78.78746,40.813677,-74.082884,New York Jets,Buffalo Bills,MetLife Stadium,No,UBU Sports Speed Series S5-M,0,0,277.5567372
2019_01_LV_CAR,1,Sun,43716,2019,September,8,1:00PM,Los Angeles Rams,Carolina Panthers,30,27,349,1,343,3,TRUE,"33.864219,-118.260995","35.225647,-80.851339",33.864219,-118.260995,35.225647,-80.851339,Carolina Panthers,Los Angeles Rams,Bank of America Stadium,No,FieldTurf,0,0,2118.485529
2019_01_TEN_CLE,1,Sun,43716,2019,September,8,1:00PM,Tennessee Titans,Cleveland Browns,43,13,339,0,346,3,TRUE,"36.199207,-86.80447","41.506035,-81.700058",36.199207,-86.80447,41.506035,-81.700058,Cleveland Browns,Tennessee Titans,First Energy Stadium,No,Kentucky Bluegrass,0,0,457.9307172
2019_01_KC_JAX,1,Sun,43716,2019,September,8,1:00PM,Kansas City Chiefs,Jacksonville Jaguars,40,26,491,0,428,2,TRUE,"39.048172,-94.483084","30.323721,-81.635996",39.048172,-94.483084,30.323721,-81.635996,Jacksonville Jaguars,Kansas City Chiefs,TIAA Bank Field,No,Bermuda Grass,0,0,944.9246626
2019_01_BAL_MIA,1,Sun,43716,2019,September,8,1:00PM,Baltimore Ravens,Miami Dolphins,59,10,643,0,200,3,TRUE,"39.397151,-76.835177","25.957866,-80.23877",39.397151,-76.835177,25.957866,-80.23877,Miami Dolphins,Baltimore Ravens,Hard Rock Stadium,No,Bermuda Grass,0,0,949.2144817
2019_01_WAS_PHI,1,Sun,43716,2019,September,8,1:00PM,Philadelphia Eagles,Washington Redskins,32,27,436,0,398,0,FALSE,"39.026703,-77.444067","39.907366,-75.178274",39.026703,-77.444067,39.907366,-75.178274,Philadelphia Eagles,Washington Redskins, Lincoln Financial Field,No,Desso GrassMaster,0,0,135.3033337
2019_01_CIN_SF,1,Sun,43716,2019,September,8,4:05PM,Seattle Seahawks,Cincinnati Bengals,21,20,232,1,429,3,FALSE,"39.096375,-84.516402","47.593177,-122.331764",39.096375,-84.516402,47.593177,-122.331764,Seattle Seahawks,Cincinnati Bengals,CenturyLink Field,No,FieldTurf Revolution 360,0,0,1966.741514
2019_01_IND_LAC,1,Sun,43716,2019,September,8,4:05PM,Los Angeles Chargers,Indianapolis Colts,30,24,435,2,376,0,FALSE,"39.725523,-86.269762","33.864219,-118.260995",39.725523,-86.269762,33.864219,-118.260995,Los Angeles Chargers,Indianapolis Colts,SoFi Stadium,Closed,Hellas Matrix Turf,0,0,1805.554245
